page,vendor_name,ticket_number,ticket_valid,manifest_number,manifest_valid,vendor_type,matched_term,file_name,file_path,page_image_hash,file_hash
12,Tarango,629835,valid,14881010,valid,Trucking,469-660-6912,24-105_2025-06-25_Class2_Podium_WM_412.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-25/export/24-105_2025-06-25_Class2_Podium_WM_412.pdf,d3239be8eab598a0e4128615df54b3f85cfc269a256562a2a3e19e3c1b6850c0,c1e78a1d9b20fefac16dfee22902b27a7952a2a1e367da902a7b31ae6f26b596
14,Tarango,630734,valid,n,invalid,Trucking,469-660-6912,24-105_2025-06-25_Class2_Podium_WM_412.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-25/export/24-105_2025-06-25_Class2_Podium_WM_412.pdf,bd06890c6c250e4bdc4a45567ec76b5f8dba10239b27fc4432a7bab1ab103951,c1e78a1d9b20fefac16dfee22902b27a7952a2a1e367da902a7b31ae6f26b596
10,Tarango,629897,valid,14/76731,review,Trucking,469-660-6912,24-105_2025-06-25_Class2_Podium_WM_412.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-25/export/24-105_2025-06-25_Class2_Podium_WM_412.pdf,c74a76f1f962a28d49855155f7297a4635ee613e16ba62fbde57585d476348e0,c1e78a1d9b20fefac16dfee22902b27a7952a2a1e367da902a7b31ae6f26b596
6,Tarango,629602,valid,4768BD2,review,Trucking,469-660-6912,24-105_2025-06-25_Class2_Podium_WM_412.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-25/export/24-105_2025-06-25_Class2_Podium_WM_412.pdf,17449abd8a9972bba73ba69383e58282460a93807112c10568ee85436966eee5,c1e78a1d9b20fefac16dfee22902b27a7952a2a1e367da902a7b31ae6f26b596
7,Tarango,671066,valid,MBILIB,invalid,Trucking,469-660-6912,24-105_2025-06-25_Class2_Podium_WM_412.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-25/export/24-105_2025-06-25_Class2_Podium_WM_412.pdf,d2e357ed99089af888dd61ab8d6e7cb7a409039104b6c4942b083b5777fe1ab5,c1e78a1d9b20fefac16dfee22902b27a7952a2a1e367da902a7b31ae6f26b596
5,Tarango,629601,valid,14767428,valid,Trucking,469-660-6912,24-105_2025-06-25_Class2_Podium_WM_412.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-25/export/24-105_2025-06-25_Class2_Podium_WM_412.pdf,52af83f11cfc0d3edfd25c9963b621c158ce9f39a91eb987300e059cb9185cfb,c1e78a1d9b20fefac16dfee22902b27a7952a2a1e367da902a7b31ae6f26b596
4,Tarango,629733,valid,461463,invalid,Trucking,469-660-6912,24-105_2025-06-25_Class2_Podium_WM_412.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-25/export/24-105_2025-06-25_Class2_Podium_WM_412.pdf,6d2b4f2d2199aa8a5788d36667346268f64b55a8a4337eff6c3a7945f9b9b72a,c1e78a1d9b20fefac16dfee22902b27a7952a2a1e367da902a7b31ae6f26b596
16,Tarango,629494,valid,uh 1D2,invalid,Trucking,469-660-6912,24-105_2025-06-25_Class2_Podium_WM_412.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-25/export/24-105_2025-06-25_Class2_Podium_WM_412.pdf,e51deee78793aa13fa1707c24e07d8f2715c1f4556b9277272e6b558c29a291a,c1e78a1d9b20fefac16dfee22902b27a7952a2a1e367da902a7b31ae6f26b596
13,Tarango,616808,valid,14880999,valid,Trucking,469-660-6912,24-105_2025-06-25_Class2_Podium_WM_412.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-25/export/24-105_2025-06-25_Class2_Podium_WM_412.pdf,97270432e75b72de634a4467073dd431c84dd499966da522a2b0bf68cb83f38e,c1e78a1d9b20fefac16dfee22902b27a7952a2a1e367da902a7b31ae6f26b596
3,Tarango,630735,valid,1d88in23,review,Trucking,469-660-6912,24-105_2025-06-25_Class2_Podium_WM_412.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-25/export/24-105_2025-06-25_Class2_Podium_WM_412.pdf,c40485f1083610853058786e92f7dcd2b9cde496304d36fe31bf9f2a8d186006,c1e78a1d9b20fefac16dfee22902b27a7952a2a1e367da902a7b31ae6f26b596
