page,vendor_name,ticket_number,ticket_valid,manifest_number,manifest_valid,vendor_type,matched_term,file_name,file_path,page_image_hash,file_hash
2,Tarango,626526,valid,L683683,review,Trucking,469-660-6912,24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,b2d4deac91e0a1aca74bcb4bfc8087eb3aa3fa2f3a6ba6e278417f14f802877d,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113
8,Tarango,584398,valid,14763603,valid,Trucking,469-660-6912,24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,0cc5aa3252e16e117ca6d49b4a5d50d6b12a3cda65b6ca985358f27edacbce15,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113
10,Tarango,624563,valid,47/3572,review,Trucking,469-660-6912,24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,24d646fa8afdecb1a1d1fd87435996ed9855d95895e2dfa2dc778b926f985ff3,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113
7,Tarango,626245,valid,14763623,valid,Trucking,469-660-6912,24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,e3c4b96026877290fc728c76f00bc116137828a830f9e48036567f9bb03fe2d5,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113
1,Tarango,587651,valid,14063620,valid,Trucking,469-660-6912,24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,c9d252e1b5c5be2eff179c14841704a6540a0142cb79dd4956c8cd9eeaab4772,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113
5,Tarango,613949,valid,M763552,review,Trucking,469-660-6912,24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,764d6be3eaeef9eefb738fff59c7f82d67bd76b42f664bde4ede0a702de150c8,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113
4,Tarango,624562,valid,14683/66,review,Trucking,469-660-6912,24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,377ba7147438365c1dcd32211ad7deb21cee29780d67dd4a38363905c863bb22,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113
9,Tarango,687650,valid,146841625,review,Trucking,469-660-6912,24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,7795c15077a9c5ccfa9fc2ddcd2595958033e9ba92333cf189a736bb88b913e4,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113
3,Tarango,625581,valid,146836657,review,Trucking,469-660-6912,24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,56d671b3e058466d4a30c7675783e968fb50f5541a260b14346a86bc0b21b2fc,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113
12,Tarango,584396,valid,14763567,valid,Trucking,469-660-6912,24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,f2109f49b514023b17eac3fb7ea85eb63e8ba931925e1dbce9d4c6082e0e6941,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113
6,Tarango,624538,valid,1494349,review,Trucking,469-660-6912,24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,9f5a09795599958414cc468a24bd2c1c1aba3ff1a18dd9b1cd4896446a3554ea,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113
11,Tarango,624539,valid,67,invalid,Trucking,469-660-6912,24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,a52e8af06de850b47e2d15019153b0b0e0ac587ecccff61b4d4eef76ca885977,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113
22,JDandSon,A038270,valid,14653645,valid,Trucking,dandsontrucking,24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,5bdbae502469c3513f48a3cf85e716b372338e14fdfd04b06f7988bb693900be,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113
16,Roberts,1114296,valid,M0634216,review,Trucking,534-6557,24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,140ecb0cd1c9ebfdc35db256ceaa1f9c5e2517894d021c269a293b134dd83901,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113
14,Tarango,626241,valid,1476234,review,Trucking,469-660-6912,24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,b00ef417b50c37cfa8705507d7b439f96629f8a6fa88c605147bc16e233615e8,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113
13,Tarango,626419,valid,1763556,review,Trucking,469-660-6912,24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,701f70ec17c4b13b68574aa86fbb62dedb2630e63ff20fb03a24dda5403e3753,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113
